# started on Mon May  4 06:00:11 2026

244.90,msec,task-clock:u,1.16%,248078333,100.00,3.826,CPUs utilized
64083010,ns,duration_time,1.58%,66857845,100.00,,
241330350,ns,user_time,0.33%,240620000,100.00,,
3647170,ns,system_time,16.02%,4741600,100.00,,
143733063,,mem_access:u,1.90%,203471651,82.00,586.902,M/sec
139807784,,mem_access_rd:u,1.97%,208056110,83.00,570.874,M/sec
4085441,,mem_access_wr:u,1.72%,215655539,86.00,16.682,M/sec
130675323,,ld_spec:u,2.54%,216457352,87.00,533.583,M/sec
2859829,,st_spec:u,2.38%,216122035,87.00,11.677,M/sec
337625868,,ase_spec:u,0.24%,219154388,88.00,1.379,G/sec
470,,vfp_spec:u,2.81%,209552923,84.00,1.919,K/sec
