
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000589                       # Number of seconds simulated (Second)
simTicks                                    588621354                       # Number of ticks simulated (Tick)
finalTick                                   588621354                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      3.84                       # Real time elapsed on the host (Second)
hostTickRate                                153326061                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8773900                       # Number of bytes of host memory used (Byte)
simInsts                                      2241499                       # Number of instructions simulated (Count)
simOps                                        2744411                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   583864                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     714861                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           417                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                         1411564                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.629698                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.588063                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                        2833441                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     149                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                       2876108                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   402                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               89178                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined            53422                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                 65                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples            1124869                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.556838                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.027988                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   295298     26.25%     26.25% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                   102704      9.13%     35.38% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                   130693     11.62%     47.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                   175905     15.64%     62.64% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                   231287     20.56%     83.20% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   110356      9.81%     93.01% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                    52173      4.64%     97.65% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                    17287      1.54%     99.19% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     9166      0.81%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total              1124869                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                   1597      2.31%      2.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                    70      0.10%      2.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                    135      0.20%      2.60% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%      2.60% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%      2.60% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%      2.60% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                 325      0.47%      3.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc              292      0.42%      3.50% # attempts to use FU when none available (Count)
