# started on Mon May  4 06:00:04 2026

15.12,msec,task-clock:u,0.57%,15268129,100.00,2.363,CPUs utilized
6463586,ns,duration_time,1.63%,6657034,100.00,,
15154946,ns,user_time,1.93%,14598400,100.00,,
467640,ns,system_time,61.86%,1039200,100.00,,
14161644,,mem_access:u,5.28%,5786204,37.00,936.629,M/sec
16518762,,mem_access_rd:u,1.57%,13272665,86.00,1.093,G/sec
909798,,mem_access_wr:u,0.37%,15268129,100.00,60.173,M/sec
15394060,,ld_spec:u,0.57%,15268129,100.00,1.018,G/sec
666355,,st_spec:u,0.51%,15268129,100.00,44.072,M/sec
42110586,,ase_spec:u,0.00%,15268129,100.00,2.785,G/sec
347,,vfp_spec:u,4.85%,11477389,75.00,22.950,K/sec
