# started on Mon May  4 06:00:01 2026

1.91,msec,task-clock:u,1.70%,1864204,100.00,1.143,CPUs utilized
1722532,ns,duration_time,5.06%,1604081,100.00,,
2053800,ns,user_time,7.95%,1915000,100.00,,
329470,ns,system_time,43.03%,420600,100.00,,
2211244,,l1d_tlb:u,1.81%,1864204,100.00,1.158,G/sec
368,,l1d_tlb_refill:u,3.94%,1864204,100.00,192.670,K/sec
1362313,,l1i_tlb:u,2.91%,1864204,100.00,713.251,M/sec
175,,l1i_tlb_refill:u,0.70%,1864204,100.00,91.623,K/sec
1171,,l2d_tlb:u,3.28%,1864204,100.00,613.088,K/sec
219,,l2d_tlb_refill:u,2.00%,1864204,100.00,114.659,K/sec
