# started on Mon May  4 06:00:00 2026

1.22,msec,task-clock:u,5.13%,1465334,100.00,1.038,CPUs utilized
1229024,ns,duration_time,7.10%,1549267,100.00,,
1222566,ns,user_time,12.09%,1017000,100.00,,
455746,ns,system_time,28.74%,662400,100.00,,
2179455,,cycles:u,6.98%,1465334,100.00,1.780,GHz
4650624,,instructions:u,10.02%,1465334,100.00,2.13,insn per cycle
4650624,,inst_retired:u,10.02%,1465334,100.00,3.799,G/sec
4780059,,inst_spec:u,9.71%,1465334,100.00,3.905,G/sec
256878,,stall_frontend:u,5.05%,1465334,100.00,209.829,M/sec
556499,,stall_backend:u,7.15%,1465334,100.00,454.572,M/sec
