# started on Mon May  4 06:00:00 2026

1.30,msec,task-clock:u,6.32%,1540203,100.00,1.082,CPUs utilized
1250398,ns,duration_time,7.14%,1512767,100.00,,
1266776,ns,user_time,11.29%,1066800,100.00,,
474700,ns,system_time,28.74%,690000,100.00,,
1414603,,l1d_cache:u,6.07%,1540203,100.00,1.091,G/sec
1063787,,l1d_cache_rd:u,8.05%,1540203,100.00,820.812,M/sec
350816,,l1d_cache_wr:u,0.06%,1540203,100.00,270.688,M/sec
20774,,l1d_cache_refill:u,0.25%,1540203,100.00,16.029,M/sec
1387344,,l1i_cache:u,9.35%,1540203,100.00,1.070,G/sec
7849,,l1i_cache_refill:u,0.37%,1540203,100.00,6.056,M/sec
