# started on Mon May  4 06:00:00 2026

1.05,msec,task-clock:u,5.15%,1234354,100.00,0.854,CPUs utilized
1291868,ns,duration_time,7.59%,1597544,100.00,,
1486473,ns,user_time,0.75%,1507200,100.00,,
1175420,,l1d_tlb:u,4.05%,1234354,100.00,1.117,G/sec
317,,l1d_tlb_refill:u,2.61%,1234354,100.00,301.164,K/sec
752848,,l1i_tlb:u,6.36%,1234354,100.00,715.240,M/sec
166,,l1i_tlb_refill:u,1.54%,1234354,100.00,157.708,K/sec
830,,l2d_tlb:u,1.39%,1234354,100.00,788.538,K/sec
195,,l2d_tlb_refill:u,2.81%,1234354,100.00,185.259,K/sec
