# started on Sat May  9 01:11:45 2026

7.24,msec,task-clock:u,0.16%,7235000,100.00,0.850,CPUs utilized
8572740,ns,duration_time,8.27%,11379550,100.00,,
2598816,ns,user_time,27.21%,3116000,100.00,,
5106573,ns,system_time,13.97%,4569200,100.00,,
4232558,,l1d_cache:u,0.13%,7235000,100.00,584.968,M/sec
2978165,,l1d_cache_rd:u,0.10%,7235000,100.00,411.602,M/sec
1254393,,l1d_cache_wr:u,0.20%,7235000,100.00,173.366,M/sec
61670,,l1d_cache_refill:u,0.56%,7235000,100.00,8.523,M/sec
5674278,,l1i_cache:u,0.52%,7235000,100.00,784.223,M/sec
70769,,l1i_cache_refill:u,0.66%,7235000,100.00,9.781,M/sec
