# started on Sat May  9 01:11:45 2026

5.66,msec,task-clock:u,0.65%,5591667,100.00,0.906,CPUs utilized
6305393,ns,duration_time,1.58%,6085278,100.00,,
1744453,ns,user_time,20.13%,1307600,100.00,,
4406500,ns,system_time,7.75%,4840000,100.00,,
5609304,,cycles:u,0.97%,5591667,100.00,0.991,GHz
7308141,,instructions:u,0.00%,5591667,100.00,1.30,insn per cycle
7308141,,inst_retired:u,0.00%,5591667,100.00,1.291,G/sec
9311594,,inst_spec:u,0.37%,5591667,100.00,1.646,G/sec
1090771,,stall_frontend:u,3.41%,5591667,100.00,192.759,M/sec
1402148,,stall_backend:u,4.72%,5591667,100.00,247.785,M/sec
