# started on Sat May  9 01:11:45 2026

5.71,msec,task-clock:u,1.14%,5572556,100.00,0.931,CPUs utilized
6188463,ns,duration_time,1.62%,5973758,100.00,,
1475823,ns,user_time,30.14%,2440200,100.00,,
4801016,ns,system_time,10.10%,3723000,100.00,,
2512969,,l1d_tlb:u,0.19%,5572556,100.00,440.415,M/sec
3275,,l1d_tlb_refill:u,1.36%,5572556,100.00,573.966,K/sec
2760051,,l1i_tlb:u,0.68%,5572556,100.00,483.718,M/sec
3202,,l1i_tlb_refill:u,0.39%,5572556,100.00,561.172,K/sec
9016,,l2d_tlb:u,1.29%,5572556,100.00,1.580,M/sec
598,,l2d_tlb_refill:u,1.79%,5572556,100.00,104.804,K/sec
