# started on Sat May  9 01:11:45 2026

5.68,msec,task-clock:u,0.52%,5773611,100.00,0.911,CPUs utilized
6290416,ns,duration_time,1.66%,6214834,100.00,,
486756,ns,user_time,50.34%,1287200,100.00,,
5598026,ns,system_time,4.31%,4815800,100.00,,
1803094,,branches:u,0.00%,5773611,100.00,317.577,M/sec
75352,,branch-misses:u,2.33%,5773611,100.00,4.18,of all branches
1866772,,br_pred:u,0.09%,5773611,100.00,328.793,M/sec
75352,,br_mis_pred:u,2.33%,5773611,100.00,13.272,M/sec
1803094,,br_retired:u,0.00%,5773611,100.00,317.577,M/sec
72600,,br_mis_pred_retired:u,2.28%,5773611,100.00,12.787,M/sec
