# started on Mon May  4 05:59:59 2026

11.26,msec,task-clock:u,0.35%,11253316,100.00,0.946,CPUs utilized
11973462,ns,duration_time,0.28%,12022299,100.00,,
10576616,ns,user_time,5.01%,9065000,100.00,,
1215793,ns,system_time,45.03%,2778800,100.00,,
12757593,,l1d_tlb:u,0.58%,11253316,100.00,1.133,G/sec
415,,l1d_tlb_refill:u,5.60%,11253316,100.00,36.871,K/sec
18536639,,l1i_tlb:u,0.43%,11253316,100.00,1.647,G/sec
157,,l1i_tlb_refill:u,2.62%,11253316,100.00,13.949,K/sec
1030,,l2d_tlb:u,1.94%,11253316,100.00,91.511,K/sec
155,,l2d_tlb_refill:u,1.90%,11253316,100.00,13.771,K/sec
