# started on Mon May  4 05:59:59 2026

0.94,msec,task-clock:u,3.82%,992333,100.00,0.735,CPUs utilized
1331901,ns,duration_time,3.98%,1287509,100.00,,
612776,ns,user_time,21.81%,869800,100.00,,
845743,ns,system_time,17.61%,545800,100.00,,
876992,,l1d_cache:u,4.82%,992333,100.00,934.157,M/sec
659562,,l1d_cache_rd:u,6.42%,992333,100.00,702.554,M/sec
217430,,l1d_cache_wr:u,0.07%,992333,100.00,231.603,M/sec
11629,,l1d_cache_refill:u,0.39%,992333,100.00,12.387,M/sec
916428,,l1i_cache:u,6.86%,992333,100.00,976.163,M/sec
7153,,l1i_cache_refill:u,0.26%,992333,100.00,7.619,M/sec
