# started on Mon May  4 05:59:59 2026

0.55,msec,task-clock:u,3.00%,554592,100.00,0.593,CPUs utilized
984441,ns,duration_time,5.77%,902308,100.00,,
1013113,ns,user_time,2.98%,954400,100.00,,
571324,,l1d_cache:u,0.05%,554592,100.00,1.034,G/sec
371813,,l1d_cache_rd:u,0.06%,554592,100.00,673.208,M/sec
199510,,l1d_cache_wr:u,0.05%,554592,100.00,361.235,M/sec
4291,,l1d_cache_refill:u,0.40%,554592,100.00,7.769,M/sec
481926,,l1i_cache:u,0.23%,554592,100.00,872.580,M/sec
6204,,l1i_cache_refill:u,0.31%,554592,100.00,11.233,M/sec
