# started on Mon May  4 06:00:01 2026

1.97,msec,task-clock:u,4.41%,2134574,100.00,1.449,CPUs utilized
1415138,ns,duration_time,2.46%,1421657,100.00,,
1809456,ns,user_time,10.23%,1959200,100.00,,
648853,ns,system_time,31.92%,505600,100.00,,
1809745,,branches:u,12.66%,2134574,100.00,918.577,M/sec
3624,,branch-misses:u,3.67%,2134574,100.00,0.20,of all branches
1819245,,br_pred:u,12.60%,2134574,100.00,923.399,M/sec
3624,,br_mis_pred:u,3.67%,2134574,100.00,1.839,M/sec
1809745,,br_retired:u,12.66%,2134574,100.00,918.577,M/sec
3361,,br_mis_pred_retired:u,3.84%,2134574,100.00,1.706,M/sec
