algorithm,backend,iteration,problem_size,threads,source_path,runtime_sec,perf_duration_sec,task_clock_sec,cpus_utilized,sim_seconds,host_seconds,host_tick_rate,host_memory_bytes,clock_ghz,cycles,cycles_sum,cycles_max,instructions,instructions_not_nop,ops,ipc,ipc_wall,cpi,core_ipc_mean,core_ipc_min,core_ipc_max,user_time_sec,system_time_sec,branches,branch_misses,branch_miss_rate,branch_predicted,branch_mispredicted,btb_lookups,btb_hits,btb_misses,btb_hit_rate,l1d_accesses,l1d_reads,l1d_writes,l1d_misses,l1d_read_misses,l1d_write_misses,l1d_miss_rate,l1i_accesses,l1i_misses,l1i_miss_rate,l2d_accesses,l2d_reads,l2d_writes,l2d_misses,l2d_miss_rate,l2_accesses_total,l2_misses_total,l2_miss_rate_total,l1d_tlb_accesses,l1d_tlb_misses,l1d_tlb_miss_rate,l1i_tlb_accesses,l1i_tlb_misses,l1i_tlb_miss_rate,l2d_tlb_accesses,l2d_tlb_misses,l2d_tlb_miss_rate,mem_accesses,mem_reads,mem_writes,load_insts,store_insts,vec_insts,fp_insts,int_insts,issue_rate,fu_busy,fu_busy_rate,iq_full_events,lsq_full_events,rob_full_events,sq_full_events,dcache_blocked_no_mshrs_cycles,icache_stall_cycles
GEMM,gem5,i2,512,2,binaries/GEMM/stats/gem5/i2/512/t2,0.044585,,,,0.044585,1043.15,42740239.0,8790268.0,2.3980815347721824,217478081.0,217478081.0,106917541.0,474968932.0,467440703.0,608690908.0,2.1839853001093936,4.442385482846075,0.45787853972731,1.2567774999999999,0.295845,2.255308,,,4364175.0,57544.0,0.013185539076686887,4259532.0,57544.0,4441355.0,4264257.0,177098.0,0.9601252320519301,134787058.0,129521429.0,5265416.0,6758832.0,2906138.0,3852487.0,0.050144517584173404,32282090.0,1879.0,5.8205649014670365e-05,24024054.0,,,15781982.0,0.6569241810728531,24273918.0,16030298.0,0.6603918658701904,0.0,0.0,,0.0,0.0,,0.0,0.0,,166540246.0,161203631.0,5336615.0,161203631.0,5336615.0,469943938.0,0.0,261464099.0,3.400116685782233,62419869.0,0.08442538492220109,164945.0,2271760.0,469910.0,6696594.0,101333722.0,84229.0
GEMM,gem5,i2,512,3,binaries/GEMM/stats/gem5/i2/512/t3,0.029048,,,,0.029048,972.33,29874857.0,8793336.0,2.3980815347721824,209715463.0,209715463.0,69660148.0,504164260.0,496290848.0,647326140.0,2.40403951519779,7.237484766756453,0.4159665403493695,2.0983287500000003,1.164288,2.445024,,,5871949.0,74194.0,0.01263532772508753,5728040.0,74194.0,5986145.0,5719608.0,266537.0,0.9554743495187638,146879926.0,141507717.0,5371996.0,8409360.0,4617379.0,3791774.0,0.05725329681879061,35886175.0,2248.0,6.264250787385394e-05,21554433.0,,,1653261.0,0.07670166967509653,23662244.0,1981740.0,0.0837511438052959,0.0,0.0,,0.0,0.0,,0.0,0.0,,175811189.0,170465097.0,5346092.0,170465097.0,5346092.0,492590328.0,0.0,287339679.0,3.098618336026085,7010090.0,0.010791168249375654,59375.0,2110382.0,614530.0,8721720.0,24731139.0,105556.0
GEMM,gem5,i2,512,4,binaries/GEMM/stats/gem5/i2/512/t4,0.030087,,,,0.030087,1175.2,25601377.0,8794360.0,2.3980815347721824,288273539.0,288273539.0,72148536.0,478910688.0,468890416.0,614601754.0,1.6613064440853866,6.637843462270669,0.6019359062623384,1.6613235,1.616436,1.724874,,,4724423.0,58490.0,0.012380347822368996,4661444.0,58490.0,4808532.0,4694236.0,114296.0,0.9762305834712133,137045559.0,130465921.0,6579425.0,8417199.0,3292854.0,5124138.0,0.06141898403289376,32216578.0,2062.0,6.4004314797183e-05,24220688.0,,,16782894.0,0.6929156595386555,24412838.0,16970709.0,0.6951551065058474,0.0,0.0,,0.0,0.0,,0.0,0.0,,168750640.0,162137355.0,6613285.0,162137355.0,6613285.0,471910878.0,0.0,264872318.0,2.6853959807944774,66755528.0,0.0862441748063132,271847.0,7745193.0,535009.0,17530361.0,158439307.0,90772.0
GEMM,gem5,i2,1024,1,binaries/GEMM/stats/gem5/i2/1024/t1,0.605628,,,,0.605628,6767.02,89497043.0,8787192.0,2.3980815347721824,1457881582.0,1457881582.0,1452343399.0,3696164246.0,3694275346.0,4742195539.0,2.5352979910270927,2.5449657763755913,0.3944309519193374,0.7879145000000001,0.202117,2.544194,,,24519209.0,369964.0,0.015088741239572614,23850439.0,369964.0,24646404.0,23849868.0,796536.0,0.9676814516227195,1046567736.0,1020297992.0,26269531.0,34493192.0,19156703.0,15336282.0,0.032958394199914455,255495985.0,1677.0,6.563703926697713e-06,175451695.0,,,65428358.0,0.3729137982964485,177830712.0,67783830.0,0.3811705483133869,0.0,0.0,,0.0,0.0,,0.0,0.0,,1300206114.0,1273870312.0,26335802.0,1273870312.0,26335802.0,3735910710.0,0.0,2026220823.0,3.6147927904887958,254235851.0,0.048250366966977,958601.0,11610260.0,1808204.0,19815301.0,404239960.0,390371.0
GEMM,gem5,i2,1024,2,binaries/GEMM/stats/gem5/i2/1024/t2,0.342141,,,,0.342141,8063.53,42430616.0,8790264.0,2.3980815347721824,1644564936.0,1644564936.0,820481320.0,3701544804.0,3695481682.0,4747586163.0,2.2507744893327826,4.511430929347666,0.44429151153940755,1.27749575,0.29917,2.258131,,,25079399.0,377725.0,0.015061166338156668,24458822.0,377725.0,25267355.0,24463810.0,803545.0,0.9681982938063759,1047066471.0,1020787978.0,26278280.0,33445659.0,18098094.0,15347358.0,0.03194225001594956,255745130.0,1868.0,7.304146905944993e-06,189904860.0,,,163848567.0,0.862792911145086,192287269.0,166191866.0,0.8642894917811745,0.0,0.0,,0.0,0.0,,0.0,0.0,,1300755497.0,1274405719.0,26349778.0,1274405719.0,26349778.0,3735914700.0,0.0,2027402267.0,3.813226715907556,681860143.0,0.10874008563501779,1636020.0,15575668.0,2372581.0,31939280.0,980555309.0,392331.0
GEMM,gem5,i2,1024,3,binaries/GEMM/stats/gem5/i2/1024/t3,0.221623,,,,0.221623,7401.04,29944859.0,8793336.0,2.3980815347721824,1595143812.0,1595143812.0,531470395.0,3854497358.0,3818673263.0,4935760511.0,2.416394891171104,7.252515651412719,0.41383964336861795,2.10418925,1.165345,2.436031,,,34667064.0,435645.0,0.012566538660441507,33484360.0,435645.0,34953622.0,33867186.0,1086436.0,0.9689177848292804,1097255840.0,1070211333.0,27044294.0,47601074.0,32810854.0,14790013.0,0.04338192813810861,260751792.0,2216.0,8.498503435021454e-06,175822584.0,,,47580124.0,0.270614405257518,185337137.0,51281903.0,0.27669523674577967,0.0,0.0,,0.0,0.0,,0.0,0.0,,1341168304.0,1314295551.0,26872753.0,1314295551.0,26872753.0,3826674650.0,0.0,2132717399.0,3.3332482783063324,202582507.0,0.03810904698903901,1198021.0,11852379.0,2760259.0,40261466.0,372845079.0,448539.0
GEMM,gem5,i2,1024,4,binaries/GEMM/stats/gem5/i2/1024/t4,0.237112,,,,0.237112,8937.75,26529263.0,8794360.0,2.3980815347721824,2274126005.0,2274126005.0,568611818.0,3719587806.0,3705123959.0,4773509975.0,1.6356120099862277,6.541523915354148,0.6113919400777819,1.6356125000000001,1.628526,1.645871,,,26927915.0,380482.0,0.014129649473418198,25849180.0,380482.0,27121101.0,26377571.0,743530.0,0.9725848150486222,1056473845.0,1024939179.0,31534453.0,39061293.0,18788126.0,20272960.0,0.03697327026586257,256641664.0,2069.0,8.061824287423573e-06,187627565.0,,,165847774.0,0.8839200892470144,188990765.0,167181871.0,0.8846033878956996,0.0,0.0,,0.0,0.0,,0.0,0.0,,1310614262.0,1278550368.0,32063894.0,1278550368.0,32063894.0,3743786000.0,0.0,2043672520.0,2.880305257315766,699831658.0,0.10685182531500985,2850691.0,33585337.0,3038571.0,67796962.0,1464986740.0,401219.0
GEMM,hardware,none,64,1,binaries/GEMM/stats/hardware/64/t1,0.0003,0.001804266,0.00218,1.247,,,,,2.006,4374656.0,,,1414765.0,,,0.32340028564531703,,3.0921432181316333,,,,0.002518096,0.00026199,68252.0,1098.0,0.01608744066107953,69787.0,1098.0,,,,,435698.0,358563.0,77134.0,4047.0,,,0.009288543899673627,375256.0,3237.0,0.008626111241392542,38034.0,25611.0,12423.0,3359.0,0.08831571751590682,,,,421657.0,157.0,0.00037234055168063144,213906.0,103.0,0.0004815199199648444,16849.0,148.0,0.008783904089263458,397571.0,356887.0,76626.0,333271.0,61923.0,,,,,,,,,,,,
GEMM,hardware,none,64,2,binaries/GEMM/stats/hardware/64/t2,0.00029,0.001205732,0.00196,1.704,,,,,2.013,3952531.0,,,1387302.0,,,0.3509907955181123,,2.8490775620593065,,,,0.001361506,0.001101023,86922.0,1039.0,0.01195324543843906,88343.0,1039.0,,,,,478105.0,390298.0,87807.0,4169.0,,,0.008719841875738593,420677.0,3295.0,0.007832612669577847,37165.0,26266.0,10898.0,3419.0,0.09199515673348581,,,,420808.0,163.0,0.00038735005037927037,213016.0,106.0,0.0004976152026138882,16827.0,151.0,0.00897367326320794,471702.0,405104.0,92710.0,381541.0,77978.0,,,,,,,,,,,,
GEMM,hardware,none,64,3,binaries/GEMM/stats/hardware/64/t3,0.00029,0.001786114,0.0034300000000000003,1.992,,,,,2.153,7389476.0,,,1722118.0,,,0.23305008365951793,,4.290923153930219,,,,0.00331156,0.000390413,65044.0,1050.0,0.016142918639690057,66474.0,1050.0,,,,,508367.0,413010.0,95356.0,4121.0,,,0.00810634836643606,459478.0,3358.0,0.007308293324163507,34212.0,26458.0,7754.0,3264.0,0.09540512101017187,,,,420015.0,161.0,0.000383319643346071,212420.0,98.0,0.00046135015535260336,17476.0,139.0,0.00795376516365301,422701.0,348816.0,73884.0,325104.0,59152.0,,,,,,,,,,,,
