# started on Mon May  4 06:00:03 2026

2.90,msec,task-clock:u,2.08%,3028275,100.00,2.054,CPUs utilized
1470390,ns,duration_time,3.55%,1583286,100.00,,
2456400,ns,user_time,10.53%,2707000,100.00,,
862142,ns,system_time,31.92%,671799,100.00,,
2554862,,l1d_tlb:u,2.07%,3028275,100.00,879.753,M/sec
295,,l1d_tlb_refill:u,6.37%,3028275,100.00,101.582,K/sec
1195486,,l1i_tlb:u,7.05%,3028275,100.00,411.659,M/sec
112,,l1i_tlb_refill:u,4.36%,3028275,100.00,38.567,K/sec
70158,,l2d_tlb:u,0.20%,3028275,100.00,24.159,M/sec
231,,l2d_tlb_refill:u,4.44%,3028275,100.00,79.544,K/sec
