# started on Mon May  4 06:00:06 2026

85.52,msec,task-clock:u,0.26%,85762056,100.00,1.064,CPUs utilized
80457645,ns,duration_time,0.26%,80385541,100.00,,
82279740,ns,user_time,1.24%,83797200,100.00,,
3792756,ns,system_time,25.01%,2348200,100.00,,
131574121,,mem_access:u,0.88%,73760890,86.00,1.539,G/sec
127076615,,mem_access_rd:u,0.10%,73767408,86.00,1.486,G/sec
3362651,,mem_access_wr:u,0.55%,73757833,86.00,39.322,M/sec
116217309,,ld_spec:u,0.03%,73763982,86.00,1.359,G/sec
2397488,,st_spec:u,0.78%,73764926,86.00,28.035,M/sec
333080477,,ase_spec:u,0.06%,77363943,90.00,3.895,G/sec
184,,vfp_spec:u,8.69%,68393354,79.00,2.152,K/sec
