# started on Mon May  4 06:00:02 2026

4.42,msec,task-clock:u,2.32%,4510816,100.00,2.351,CPUs utilized
1939020,ns,duration_time,3.48%,1721952,100.00,,
4869890,ns,user_time,0.69%,4920200,100.00,,
2533553,,l1d_tlb:u,0.45%,4510816,100.00,572.686,M/sec
249,,l1d_tlb_refill:u,4.09%,4510816,100.00,56.284,K/sec
1175215,,l1i_tlb:u,1.07%,4510816,100.00,265.646,M/sec
112,,l1i_tlb_refill:u,5.61%,4510816,100.00,25.317,K/sec
81937,,l2d_tlb:u,0.06%,4510816,100.00,18.521,M/sec
196,,l2d_tlb_refill:u,5.36%,4510816,100.00,44.304,K/sec
