# started on Mon May  4 05:59:58 2026

1.16,msec,task-clock:u,8.86%,916982,100.00,0.884,CPUs utilized
1370893,ns,duration_time,8.18%,1183473,100.00,,
1621560,ns,user_time,8.07%,1326800,100.00,,
153090,ns,system_time,61.86%,340200,100.00,,
1026726,,l1d_cache:u,9.58%,916982,100.00,886.842,M/sec
849589,,l1d_cache_rd:u,11.60%,916982,100.00,733.838,M/sec
177137,,l1d_cache_wr:u,0.14%,916982,100.00,153.003,M/sec
7435,,l1d_cache_refill:u,0.92%,916982,100.00,6.422,M/sec
1248651,,l1i_cache:u,11.75%,916982,100.00,1.079,G/sec
7272,,l1i_cache_refill:u,0.50%,916982,100.00,6.281,M/sec
