# started on Mon May  4 05:59:58 2026

1.13,msec,task-clock:u,6.74%,1110779,100.00,0.994,CPUs utilized
1200546,ns,duration_time,5.02%,1088714,100.00,,
1712293,ns,user_time,2.40%,1606800,100.00,,
1068182,,mem_access:u,7.76%,1110779,100.00,943.026,M/sec
893895,,mem_access_rd:u,8.99%,1110779,100.00,789.159,M/sec
176960,,mem_access_wr:u,0.07%,1110779,100.00,156.226,M/sec
903373,,ld_spec:u,8.86%,1110779,100.00,797.527,M/sec
176314,,st_spec:u,0.13%,1110779,100.00,155.656,M/sec
58366,,ase_spec:u,0.05%,1110779,100.00,51.527,M/sec
<not counted>,,vfp_spec:u,100.01%,0,0.00,,
