# started on Mon May  4 05:59:58 2026

5.18,msec,task-clock:u,49.46%,11243797,100.00,0.504,CPUs utilized
10353371,ns,duration_time,41.32%,13113713,100.00,,
3521373,ns,user_time,26.92%,5793200,100.00,,
5384178,,mem_access:u,52.11%,3485205,30.00,1.040,G/sec
5391221,,mem_access_rd:u,54.03%,10729815,95.00,1.041,G/sec
180690,,mem_access_wr:u,0.14%,11243797,100.00,34.885,M/sec
5400613,,ld_spec:u,53.95%,11243797,100.00,1.043,G/sec
178369,,st_spec:u,0.21%,11243797,100.00,34.437,M/sec
121903,,ase_spec:u,0.10%,11243797,100.00,23.535,M/sec
154,,vfp_spec:u,100.39%,8272574,73.00,29.732,K/sec
