# started on Mon May  4 06:00:03 2026

15.45,msec,task-clock:u,2.04%,15913465,100.00,1.381,CPUs utilized
11261036,ns,duration_time,2.23%,10859450,100.00,,
15118003,ns,user_time,1.30%,14897600,100.00,,
494370,ns,system_time,61.86%,1098600,100.00,,
17605212,,l1d_cache:u,0.36%,15913465,100.00,1.139,G/sec
16682598,,l1d_cache_rd:u,0.29%,15913465,100.00,1.080,G/sec
922613,,l1d_cache_wr:u,1.73%,15913465,100.00,59.707,M/sec
87955,,l1d_cache_refill:u,0.66%,15913465,100.00,5.692,M/sec
15319504,,l1i_cache:u,0.47%,15913465,100.00,991.398,M/sec
4219,,l1i_cache_refill:u,1.29%,15913465,100.00,273.032,K/sec
