# started on Mon May  4 06:00:01 2026

2.16,msec,task-clock:u,1.11%,2160796,100.00,1.340,CPUs utilized
1664210,ns,duration_time,3.29%,1625711,100.00,,
2443536,ns,user_time,6.25%,2138600,100.00,,
225720,ns,system_time,61.86%,501600,100.00,,
2406706,,l1d_cache:u,0.67%,2160796,100.00,1.116,G/sec
1699853,,l1d_cache_rd:u,0.80%,2160796,100.00,787.955,M/sec
706853,,l1d_cache_wr:u,0.76%,2160796,100.00,327.657,M/sec
155484,,l1d_cache_refill:u,1.01%,2160796,100.00,72.074,M/sec
2394995,,l1i_cache:u,0.95%,2160796,100.00,1.110,G/sec
7843,,l1i_cache_refill:u,0.92%,2160796,100.00,3.636,M/sec
