# started on Mon May  4 06:00:01 2026

2.21,msec,task-clock:u,2.91%,2219277,100.00,1.394,CPUs utilized
1642485,ns,duration_time,4.12%,1656804,100.00,,
2624033,ns,user_time,0.89%,2674000,100.00,,
2505716,,mem_access:u,3.43%,1926444,86.00,1.132,G/sec
1790096,,mem_access_rd:u,4.83%,2219277,100.00,808.588,M/sec
704416,,mem_access_wr:u,0.42%,2219277,100.00,318.185,M/sec
1748637,,ld_spec:u,4.98%,2219277,100.00,789.861,M/sec
670072,,st_spec:u,0.38%,2219277,100.00,302.672,M/sec
3139979,,ase_spec:u,0.44%,2219277,100.00,1.418,G/sec
7,,vfp_spec:u,105.71%,292833,13.00,3.162,K/sec
