# started on Sat May  9 01:11:46 2026

26.68,msec,task-clock:u,0.41%,26369574,100.00,0.984,CPUs utilized
27186030,ns,duration_time,0.49%,26822716,100.00,,
22820283,ns,user_time,1.28%,22507000,100.00,,
4514383,ns,system_time,5.71%,4659000,100.00,,
21549147,,branches:u,0.00%,26369574,100.00,807.710,M/sec
1020049,,branch-misses:u,0.34%,26369574,100.00,4.73,of all branches
22591691,,br_pred:u,0.03%,26369574,100.00,846.786,M/sec
1020049,,br_mis_pred:u,0.34%,26369574,100.00,38.234,M/sec
21549147,,br_retired:u,0.00%,26369574,100.00,807.710,M/sec
969964,,br_mis_pred_retired:u,0.37%,26369574,100.00,36.356,M/sec
