# started on Sat May  9 01:11:47 2026

26.72,msec,task-clock:u,0.46%,26390815,100.00,0.982,CPUs utilized
27283526,ns,duration_time,0.51%,26909032,100.00,,
21040026,ns,user_time,3.11%,20878800,100.00,,
6267640,ns,system_time,10.22%,6343200,100.00,,
26813452,,l1d_cache:u,0.09%,26390815,100.00,1.003,G/sec
19928977,,l1d_cache_rd:u,0.08%,26390815,100.00,745.806,M/sec
6884475,,l1d_cache_wr:u,0.16%,26390815,100.00,257.639,M/sec
305998,,l1d_cache_refill:u,0.23%,26390815,100.00,11.451,M/sec
39890175,,l1i_cache:u,0.08%,26390815,100.00,1.493,G/sec
86114,,l1i_cache_refill:u,0.50%,26390815,100.00,3.223,M/sec
