# started on Sat May  9 01:11:47 2026

26.88,msec,task-clock:u,0.35%,26893111,100.00,0.984,CPUs utilized
27397986,ns,duration_time,0.37%,27394720,100.00,,
23545463,ns,user_time,0.23%,23473400,100.00,,
3923793,ns,system_time,0.23%,3911800,100.00,,
26389223,,mem_access:u,1.22%,22892352,85.00,981.705,M/sec
18653478,,mem_access_rd:u,0.85%,22892222,85.00,693.928,M/sec
6883812,,mem_access_wr:u,0.15%,22903092,85.00,256.085,M/sec
24357188,,ld_spec:u,0.13%,22881482,85.00,906.112,M/sec
7874798,,st_spec:u,0.34%,22904333,85.00,292.950,M/sec
322403,,ase_spec:u,0.04%,22893370,85.00,11.994,M/sec
33597,,vfp_spec:u,0.34%,23991815,89.00,1.250,M/sec
