# started on Sat May  9 01:11:46 2026

15.13,msec,task-clock:u,0.32%,15144351,100.00,0.971,CPUs utilized
15646483,ns,duration_time,0.37%,15638150,100.00,,
12857090,ns,user_time,2.60%,13273200,100.00,,
2744156,ns,system_time,11.99%,2344200,100.00,,
13615419,,l1d_tlb:u,0.03%,15144351,100.00,900.070,M/sec
7793,,l1d_tlb_refill:u,12.12%,15144351,100.00,515.169,K/sec
17407162,,l1i_tlb:u,0.03%,15144351,100.00,1.151,G/sec
4173,,l1i_tlb_refill:u,1.22%,15144351,100.00,275.863,K/sec
15343,,l2d_tlb:u,6.21%,15144351,100.00,1.014,M/sec
777,,l2d_tlb_refill:u,1.72%,15144351,100.00,51.365,K/sec
