# started on Mon May  4 06:00:47 2026

702.74,msec,task-clock:u,1.06%,702646165,100.00,2.977,CPUs utilized
236088862,ns,duration_time,1.13%,235973053,100.00,,
692682336,ns,user_time,0.40%,696892600,100.00,,
9502000,ns,system_time,11.47%,6386000,100.00,,
1094806989,,mem_access:u,0.52%,595074350,84.00,1.558,G/sec
1076406754,,mem_access_rd:u,0.56%,598600906,85.00,1.532,G/sec
16189542,,mem_access_wr:u,1.19%,606341943,86.00,23.038,M/sec
998974595,,ld_spec:u,0.60%,605368110,86.00,1.422,G/sec
11078728,,st_spec:u,0.69%,607150869,86.00,15.765,M/sec
2709579422,,ase_spec:u,0.14%,606670630,86.00,3.856,G/sec
143559,,vfp_spec:u,0.24%,596670182,84.00,204.285,K/sec
