# started on Sat May  9 01:11:45 2026

4.99,msec,task-clock:u,0.70%,5061445,100.00,0.902,CPUs utilized
5601411,ns,duration_time,1.01%,5552719,100.00,,
1869486,ns,user_time,26.75%,2235600,100.00,,
3604076,ns,system_time,13.70%,3247800,100.00,,
1690453,,l1d_tlb:u,0.02%,5061445,100.00,338.469,M/sec
4281,,l1d_tlb_refill:u,13.25%,5061445,100.00,857.160,K/sec
1659605,,l1i_tlb:u,0.18%,5061445,100.00,332.293,M/sec
2873,,l1i_tlb_refill:u,0.77%,5061445,100.00,575.244,K/sec
9580,,l2d_tlb:u,5.77%,5061445,100.00,1.918,M/sec
609,,l2d_tlb_refill:u,1.68%,5061445,100.00,121.936,K/sec
