# started on Sat May  9 01:11:45 2026

4.98,msec,task-clock:u,0.54%,5022501,100.00,0.914,CPUs utilized
5506162,ns,duration_time,1.01%,5628645,100.00,,
592496,ns,user_time,49.63%,1174400,100.00,,
4874320,ns,system_time,6.12%,4292600,100.00,,
182524,,l2d_cache:u,0.27%,5022501,100.00,36.639,M/sec
106078,,l2d_cache_rd:u,0.27%,5022501,100.00,21.293,M/sec
76445,,l2d_cache_wr:u,0.29%,5022501,100.00,15.345,M/sec
38761,,l2d_cache_refill:u,2.24%,5022501,100.00,7.781,M/sec
