# started on Mon May  4 06:00:33 2026

647.89,msec,task-clock:u,0.25%,652817122,100.00,2.002,CPUs utilized
323633917,ns,duration_time,0.25%,325888492,100.00,,
646795336,ns,user_time,0.08%,645287600,100.00,,
1499516,ns,system_time,35.22%,3174000,100.00,,
28987210,,branches:u,2.68%,652817122,100.00,44.741,M/sec
26108,,branch-misses:u,0.73%,652817122,100.00,0.09,of all branches
28999150,,br_pred:u,2.68%,652817122,100.00,44.759,M/sec
26108,,br_mis_pred:u,0.73%,652817122,100.00,40.297,K/sec
28987210,,br_retired:u,2.68%,652817122,100.00,44.741,M/sec
25725,,br_mis_pred_retired:u,0.62%,652817122,100.00,39.706,K/sec
