# started on Mon May  4 06:00:08 2026

88.29,msec,task-clock:u,1.21%,85800740,100.00,2.032,CPUs utilized
43523321,ns,duration_time,2.08%,41733223,100.00,,
86181853,ns,user_time,0.84%,87205600,100.00,,
2864236,ns,system_time,16.69%,1640599,100.00,,
132450060,,mem_access:u,0.46%,69805073,81.00,1.500,G/sec
128256429,,mem_access_rd:u,0.45%,69816167,81.00,1.453,G/sec
3471617,,mem_access_wr:u,0.22%,74446888,86.00,39.322,M/sec
118329012,,ld_spec:u,0.42%,77803314,90.00,1.340,G/sec
2392351,,st_spec:u,0.28%,77802740,90.00,27.098,M/sec
333696100,,ase_spec:u,0.13%,77801814,90.00,3.780,G/sec
345,,vfp_spec:u,10.52%,67328444,78.00,3.908,K/sec
