# started on Mon May  4 05:59:57 2026

0.53,msec,task-clock:u,2.29%,510111,100.00,0.566,CPUs utilized
989803,ns,duration_time,5.02%,884104,100.00,,
995190,ns,user_time,2.26%,951200,100.00,,
405700,,l1d_tlb:u,0.15%,510111,100.00,766.881,M/sec
195,,l1d_tlb_refill:u,2.57%,510111,100.00,368.602,K/sec
326365,,l1i_tlb:u,0.66%,510111,100.00,616.917,M/sec
120,,l1i_tlb_refill:u,3.96%,510111,100.00,226.832,K/sec
613,,l2d_tlb:u,2.36%,510111,100.00,1.159,M/sec
138,,l2d_tlb_refill:u,2.11%,510111,100.00,260.857,K/sec
