# started on Mon May  4 06:00:28 2026

637.42,msec,task-clock:u,0.24%,642641440,100.00,1.009,CPUs utilized
631795243,ns,duration_time,0.24%,636818654,100.00,,
632908363,ns,user_time,0.12%,633242400,100.00,,
3511340,ns,system_time,14.38%,4788200,100.00,,
1039250442,,mem_access:u,0.33%,544086944,84.00,1.630,G/sec
1018771186,,mem_access_rd:u,0.02%,550677550,85.00,1.598,G/sec
15877020,,mem_access_wr:u,0.65%,550652387,85.00,24.908,M/sec
932845230,,ld_spec:u,0.03%,550640697,85.00,1.463,G/sec
10647122,,st_spec:u,0.60%,550726420,85.00,16.703,M/sec
2682499215,,ase_spec:u,0.02%,554531667,86.00,4.208,G/sec
172,,vfp_spec:u,4.33%,554532975,86.00,269.836,/sec
