# started on Mon May  4 05:59:59 2026

1.38,msec,task-clock:u,8.02%,1804389,100.00,1.122,CPUs utilized
1280283,ns,duration_time,7.21%,1572285,100.00,,
1842236,ns,user_time,1.74%,1880600,100.00,,
1238668,,l1d_cache:u,8.99%,1804389,100.00,900.035,M/sec
1012846,,l1d_cache_rd:u,10.99%,1804389,100.00,735.949,M/sec
225822,,l1d_cache_wr:u,0.09%,1804389,100.00,164.086,M/sec
15927,,l1d_cache_refill:u,0.22%,1804389,100.00,11.573,M/sec
1451315,,l1i_cache:u,11.52%,1804389,100.00,1.055,G/sec
7990,,l1i_cache_refill:u,0.33%,1804389,100.00,5.806,M/sec
