# started on Mon May  4 06:00:51 2026

1903.78,msec,task-clock:u,1.93%,1869431590,100.00,3.932,CPUs utilized
484227324,ns,duration_time,1.69%,484364814,100.00,,
1878158693,ns,user_time,1.11%,1895534800,100.00,,
12004143,ns,system_time,13.45%,8737800,100.00,,
66106990,,branches:u,9.18%,1869431590,100.00,34.724,M/sec
29335,,branch-misses:u,1.49%,1869431590,100.00,0.04,of all branches
66124959,,br_pred:u,9.17%,1869431590,100.00,34.734,M/sec
29335,,br_mis_pred:u,1.49%,1869431590,100.00,15.409,K/sec
66106990,,br_retired:u,9.18%,1869431590,100.00,34.724,M/sec
28515,,br_mis_pred_retired:u,1.23%,1869431590,100.00,14.978,K/sec
