# started on Mon May  4 06:01:01 2026

1960.62,msec,task-clock:u,0.91%,1944487184,100.00,3.947,CPUs utilized
496824847,ns,duration_time,0.92%,500149558,100.00,,
1958972996,ns,user_time,0.43%,1953917400,100.00,,
4307923,ns,system_time,27.69%,7180200,100.00,,
1080617764,,mem_access:u,0.76%,1657087957,85.00,551.162,M/sec
1061051006,,mem_access_rd:u,0.78%,1664010687,85.00,541.182,M/sec
19064322,,mem_access_wr:u,1.25%,1662027498,85.00,9.724,M/sec
973205969,,ld_spec:u,0.96%,1669887240,85.00,496.377,M/sec
12217455,,st_spec:u,0.85%,1666726966,85.00,6.231,M/sec
2686452103,,ase_spec:u,0.18%,1676297498,86.00,1.370,G/sec
583,,vfp_spec:u,4.91%,1670885258,85.00,297.355,/sec
