# started on Mon May  4 06:00:00 2026

1.65,msec,task-clock:u,3.41%,1610223,100.00,1.207,CPUs utilized
1442460,ns,duration_time,2.92%,1496211,100.00,,
1777206,ns,user_time,7.85%,1707200,100.00,,
327903,ns,system_time,43.03%,418600,100.00,,
2388352,,l1d_cache:u,3.45%,1610223,100.00,1.447,G/sec
1694880,,l1d_cache_rd:u,4.86%,1610223,100.00,1.027,G/sec
693471,,l1d_cache_wr:u,0.06%,1610223,100.00,420.234,M/sec
39036,,l1d_cache_refill:u,0.32%,1610223,100.00,23.655,M/sec
1871614,,l1i_cache:u,6.54%,1610223,100.00,1.134,G/sec
8709,,l1i_cache_refill:u,0.68%,1610223,100.00,5.278,M/sec
