# started on Mon May  4 06:00:01 2026

1.67,msec,task-clock:u,4.24%,1762427,100.00,1.232,CPUs utilized
1416201,ns,duration_time,4.43%,1589267,100.00,,
1881600,ns,user_time,5.65%,1696000,100.00,,
195030,ns,system_time,61.86%,433400,100.00,,
2183156,,mem_access:u,15.93%,1762427,100.00,1.304,G/sec
1750315,,mem_access_rd:u,5.15%,1762427,100.00,1.046,G/sec
693448,,mem_access_wr:u,0.04%,1762427,100.00,414.351,M/sec
1723263,,ld_spec:u,5.22%,1762427,100.00,1.030,G/sec
664791,,st_spec:u,0.06%,1762427,100.00,397.227,M/sec
1203090,,ase_spec:u,0.19%,1762427,100.00,718.873,M/sec
<not counted>,,vfp_spec:u,100.00%,0,0.00,,
