# started on Sat May  9 01:11:45 2026

9.38,msec,task-clock:u,0.80%,9435204,100.00,0.931,CPUs utilized
10145483,ns,duration_time,1.33%,9934226,100.00,,
3243040,ns,user_time,25.39%,4717200,100.00,,
6637733,ns,system_time,11.86%,5182000,100.00,,
7019388,,l1d_cache:u,0.09%,9435204,100.00,748.080,M/sec
5092208,,l1d_cache_rd:u,0.06%,9435204,100.00,542.694,M/sec
1927180,,l1d_cache_wr:u,0.18%,9435204,100.00,205.386,M/sec
79467,,l1d_cache_refill:u,0.66%,9435204,100.00,8.469,M/sec
9197787,,l1i_cache:u,0.39%,9435204,100.00,980.239,M/sec
71980,,l1i_cache_refill:u,1.04%,9435204,100.00,7.671,M/sec
