# started on Mon May  4 06:00:09 2026

95.51,msec,task-clock:u,4.90%,94697686,100.00,2.884,CPUs utilized
33185818,ns,duration_time,5.81%,32394130,100.00,,
93756396,ns,user_time,2.83%,95341400,100.00,,
1586916,ns,system_time,31.77%,695000,100.00,,
149235825,,mem_access:u,0.91%,74322760,78.00,1.563,G/sec
143786209,,mem_access_rd:u,2.00%,82696723,87.00,1.506,G/sec
3565983,,mem_access_wr:u,1.67%,82715945,87.00,37.337,M/sec
133447915,,ld_spec:u,1.88%,82690316,87.00,1.397,G/sec
2622097,,st_spec:u,1.23%,82963259,87.00,27.454,M/sec
339962459,,ase_spec:u,0.40%,82697667,87.00,3.560,G/sec
60772,,vfp_spec:u,0.72%,80099446,84.00,636.309,K/sec
