# started on Mon May  4 06:00:02 2026

3.43,msec,task-clock:u,28.78%,1648260,100.00,1.992,CPUs utilized
1786114,ns,duration_time,20.15%,1199622,100.00,,
3311560,ns,user_time,10.78%,3400800,100.00,,
390413,ns,system_time,43.03%,498400,100.00,,
7389476,,cycles:u,31.85%,1648260,100.00,2.153,GHz
1722118,,instructions:u,12.17%,1648260,100.00,0.23,insn per cycle
1722118,,inst_retired:u,12.17%,1648260,100.00,501.640,M/sec
1742792,,inst_spec:u,12.04%,1648260,100.00,507.663,M/sec
84972,,stall_frontend:u,5.63%,1648260,100.00,24.752,M/sec
6727213,,stall_backend:u,33.90%,1648260,100.00,1.960,G/sec
