# started on Mon May  4 06:00:00 2026

1.32,msec,task-clock:u,1.43%,1335241,100.00,0.930,CPUs utilized
1475967,ns,duration_time,4.40%,1404749,100.00,,
1439123,ns,user_time,10.16%,1091200,100.00,,
324196,ns,system_time,42.48%,654400,100.00,,
1852577,,mem_access:u,15.52%,278963,20.00,1.403,G/sec
1438297,,mem_access_rd:u,2.91%,1335241,100.00,1.089,G/sec
685268,,mem_access_wr:u,0.03%,1335241,100.00,518.971,M/sec
1410224,,ld_spec:u,2.99%,1335241,100.00,1.068,G/sec
656240,,st_spec:u,0.05%,1335241,100.00,496.987,M/sec
1199852,,ase_spec:u,0.05%,1335241,100.00,908.678,M/sec
9345,,vfp_spec:u,100.00%,1056278,79.00,7.077,M/sec
