# started on Mon May  4 06:00:00 2026

1.46,msec,task-clock:u,3.97%,1308593,100.00,0.977,CPUs utilized
1549144,ns,duration_time,4.89%,1286917,100.00,,
1432443,ns,user_time,8.99%,1387800,100.00,,
513783,ns,system_time,24.89%,521000,100.00,,
911667,,branches:u,14.44%,1308593,100.00,623.752,M/sec
3376,,branch-misses:u,1.55%,1308593,100.00,0.37,of all branches
919125,,br_pred:u,14.32%,1308593,100.00,628.855,M/sec
3376,,br_mis_pred:u,1.55%,1308593,100.00,2.310,M/sec
911667,,br_retired:u,14.44%,1308593,100.00,623.752,M/sec
3117,,br_mis_pred_retired:u,1.55%,1308593,100.00,2.133,M/sec
