# started on Mon May  4 06:00:03 2026

3.43,msec,task-clock:u,9.08%,3375260,100.00,2.163,CPUs utilized
1645767,ns,duration_time,7.79%,1586193,100.00,,
3704826,ns,user_time,2.33%,3897800,100.00,,
3602819,,mem_access:u,4.84%,2802722,83.00,1.050,G/sec
3235407,,mem_access_rd:u,4.39%,3375260,100.00,942.975,M/sec
270534,,mem_access_wr:u,1.31%,3375260,100.00,78.848,M/sec
3102352,,ld_spec:u,4.57%,3375260,100.00,904.196,M/sec
214663,,st_spec:u,1.65%,3375260,100.00,62.565,M/sec
5613885,,ase_spec:u,0.00%,3375260,100.00,1.636,G/sec
1189,,vfp_spec:u,100.05%,572538,16.00,346.540,K/sec
