# started on Mon May  4 06:00:02 2026

2.17,msec,task-clock:u,7.87%,2374758,100.00,1.711,CPUs utilized
1324095,ns,duration_time,5.32%,1343695,100.00,,
2264193,ns,user_time,5.87%,2048800,100.00,,
277650,ns,system_time,61.86%,617000,100.00,,
435698,,l1d_cache:u,1.91%,2374758,100.00,201.017,M/sec
358563,,l1d_cache_rd:u,1.74%,2374758,100.00,165.429,M/sec
77134,,l1d_cache_wr:u,2.70%,2374758,100.00,35.587,M/sec
4047,,l1d_cache_refill:u,1.56%,2374758,100.00,1.867,M/sec
375256,,l1i_cache:u,2.55%,2374758,100.00,173.131,M/sec
3237,,l1i_cache_refill:u,0.55%,2374758,100.00,1.493,M/sec
