# started on Mon May  4 06:00:02 2026

1.96,msec,task-clock:u,4.65%,1958222,100.00,1.770,CPUs utilized
1199491,ns,duration_time,4.92%,1244714,100.00,,
2418463,ns,user_time,1.21%,2423400,100.00,,
421657,,l1d_tlb:u,1.07%,1958222,100.00,215.046,M/sec
157,,l1d_tlb_refill:u,3.15%,1958222,100.00,80.070,K/sec
213906,,l1i_tlb:u,1.75%,1958222,100.00,109.092,M/sec
103,,l1i_tlb_refill:u,5.51%,1958222,100.00,52.530,K/sec
16849,,l2d_tlb:u,3.19%,1958222,100.00,8.593,M/sec
148,,l2d_tlb_refill:u,4.95%,1958222,100.00,75.480,K/sec
